MC_MoveAbsolute_2,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,,13,82,Call,,MC_MoveAbsolute,,,VAR,FB,,,
MC_MoveAbsolute_2,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,MC_MoveAbsolute,,,VAR,DEFINITION,,,
MOVE_ROD2,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,20,40,Read,-| |-,BOOL,,,VAR_EXTERNAL,GLOBAL,,,
MOVE_ROD2,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,,
ROD2_MOVE_Y,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,24,64,Read,,LREAL,,,VAR_EXTERNAL,GLOBAL,,,
ROD2_MOVE_Y,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,,
ROD2_TRAN,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,16,66,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,"ROD 2 TRANSLATION, AXIS 5",
ROD2_TRAN,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,OUT,16,112,Write,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,"ROD 2 TRANSLATION, AXIS 5",
ROD2_TRAN,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,"ROD 2 TRANSLATION, AXIS 5",
ROD2_TRAN_CMD_ACC,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,32,57,Read,,LREAL,,,VAR,LOCAL,,,
ROD2_TRAN_CMD_ACC,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,36,57,Read,,LREAL,,,VAR,LOCAL,,,
ROD2_TRAN_CMD_ACC,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,LREAL,,,VAR,DEFINITION,,,
ROD2_TRAN_CMD_VEL,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,28,58,Read,,LREAL,,,VAR,LOCAL,,,
ROD2_TRAN_CMD_VEL,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,LREAL,,,VAR,DEFINITION,,,
ROD2_TRAN_DN,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,20,56,Read,-|/|-,BOOL,,,VAR,LOCAL,,,
ROD2_TRAN_DN,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,OUT,20,112,Write,,BOOL,,,VAR,LOCAL,,,
ROD2_TRAN_DN,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,BOOL,,,VAR,DEFINITION,,,
ROD2_TRAN_EN,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,IN,20,25,Read,-| |-,BOOL,,,VAR_INPUT,LOCAL,,,
ROD2_TRAN_EN,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
Rod2_Translation_Calc_1,POE\Rod2_Move_Tran\Rod2_Move_Tran.GB,,55,26,Call,,Rod2_Translation_Calc,,,VAR,FB,,,
Rod2_Translation_Calc_1,POE\Rod2_Move_Tran\Rod2_Move_TranV.VB,,,,,,Rod2_Translation_Calc,,,VAR,DEFINITION,,,
